"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Sweet Grass County, Montana",30097,"41.37 (37.22, 46.20)","41.26 (37.66, 45.51)","41.99 (38.56, 45.96)","45.35 (41.95, 49.19)","49.15 (45.30, 53.77)","51.72 (47.23, 56.68)","49.69 (45.11, 54.94)","47.70 (42.54, 52.91)","15.31 (-1.37, 33.43)"
"Teton County, Montana",30099,"37.12 (33.91, 40.87)","38.34 (35.30, 41.59)","40.29 (37.51, 43.44)","45.09 (41.90, 48.25)","50.81 (47.27, 54.46)","53.66 (49.71, 57.78)","51.57 (47.24, 56.23)","53.14 (48.48, 58.20)","43.15 (25.46, 64.25)"
"Toole County, Montana",30101,"37.23 (33.03, 41.56)","39.44 (35.86, 43.71)","42.23 (38.60, 46.05)","47.66 (44.08, 51.52)","54.21 (50.02, 58.47)","60.99 (55.39, 66.48)","58.62 (52.89, 64.61)","61.26 (54.60, 68.22)","64.52 (39.57, 93.35)"
"Treasure County, Montana",30103,"33.27 (28.52, 38.17)","33.52 (28.96, 38.82)","33.62 (29.40, 38.67)","38.22 (33.22, 43.51)","44.88 (38.86, 51.57)","45.96 (39.56, 53.30)","45.36 (38.46, 53.33)","45.90 (37.92, 55.29)","37.95 (12.74, 69.58)"
"Valley County, Montana",30105,"46.83 (42.67, 51.17)","48.45 (44.61, 52.22)","50.72 (47.36, 54.62)","55.06 (51.43, 58.95)","61.46 (57.26, 65.93)","62.95 (58.29, 67.58)","61.19 (56.17, 66.25)","59.56 (54.73, 64.97)","27.17 (11.99, 45.74)"
"Wheatland County, Montana",30107,"40.84 (36.80, 45.33)","42.21 (38.46, 46.55)","43.59 (39.70, 47.98)","46.28 (42.35, 50.86)","50.33 (45.65, 55.73)","52.97 (47.79, 58.48)","48.74 (43.17, 54.37)","49.03 (42.73, 55.59)","20.03 (2.16, 39.33)"
"Wibaux County, Montana",30109,"45.74 (40.43, 51.70)","46.46 (41.63, 52.09)","48.03 (42.97, 53.70)","55.84 (49.91, 62.56)","63.95 (57.27, 71.84)","65.74 (58.64, 73.78)","61.25 (53.50, 69.32)","66.32 (57.28, 75.67)","45.01 (22.86, 69.05)"
"Yellowstone County, Montana",30111,"30.72 (28.70, 32.79)","32.29 (30.48, 34.27)","33.46 (31.71, 35.36)","38.64 (36.80, 40.51)","43.24 (41.15, 45.22)","45.03 (42.93, 47.17)","43.84 (41.48, 45.90)","45.52 (43.03, 48.06)","48.19 (35.79, 62.27)"
Nebraska,31,"36.20 (35.11, 37.39)","38.84 (37.81, 39.94)","40.65 (39.62, 41.71)","45.59 (44.44, 46.78)","51.86 (50.58, 53.18)","54.52 (53.10, 56.09)","53.21 (51.73, 54.61)","54.71 (53.03, 56.38)","51.13 (45.48, 57.07)"
"Adams County, Nebraska",31001,"29.23 (27.20, 31.55)","31.00 (28.91, 32.98)","32.78 (30.71, 34.77)","36.39 (34.36, 38.52)","40.95 (38.55, 43.42)","44.16 (41.42, 46.79)","43.28 (40.62, 45.96)","44.34 (41.19, 47.57)","51.67 (36.70, 67.41)"
"Antelope County, Nebraska",31003,"35.27 (31.98, 38.66)","36.94 (33.92, 40.33)","38.64 (35.72, 41.74)","43.54 (40.52, 46.64)","47.48 (43.92, 50.95)","48.69 (45.07, 52.67)","47.07 (43.31, 51.18)","47.76 (43.42, 52.50)","35.40 (18.56, 55.24)"
"Arthur County, Nebraska",31005,"40.76 (34.66, 48.16)","39.94 (34.50, 46.17)","40.36 (34.96, 46.88)","43.36 (37.52, 50.29)","47.17 (40.42, 55.15)","47.79 (40.30, 55.85)","42.54 (35.51, 50.71)","38.35 (31.36, 45.94)","-5.91 (-22.44, 13.56)"
"Banner County, Nebraska",31007,"35.10 (30.18, 40.10)","34.05 (29.52, 38.70)","34.96 (30.82, 39.37)","38.28 (33.35, 43.40)","42.46 (37.00, 48.53)","42.32 (36.56, 48.67)","37.83 (32.33, 43.82)","38.00 (32.06, 44.18)","8.25 (-7.64, 27.42)"
"Blaine County, Nebraska",31009,"34.41 (29.89, 39.53)","34.83 (30.47, 39.85)","35.78 (31.07, 40.69)","41.08 (35.91, 46.97)","45.89 (39.38, 53.19)","47.72 (41.20, 55.48)","44.74 (37.90, 52.33)","41.96 (35.24, 49.93)","21.93 (3.93, 44.16)"
"Boone County, Nebraska",31011,"33.32 (30.21, 36.38)","34.20 (31.53, 37.09)","35.26 (32.73, 38.05)","38.53 (35.82, 41.43)","41.72 (38.61, 44.78)","43.19 (39.86, 46.48)","39.95 (36.64, 43.63)","40.31 (36.49, 44.34)","20.95 (6.11, 39.01)"
"Box Butte County, Nebraska",31013,"35.28 (32.18, 38.44)","36.87 (34.25, 39.75)","39.23 (36.56, 41.88)","43.97 (41.20, 47.18)","48.99 (45.73, 52.29)","51.60 (48.29, 55.28)","48.00 (44.17, 51.82)","49.88 (45.35, 54.18)","41.41 (24.93, 61.01)"
"Boyd County, Nebraska",31015,"35.97 (32.19, 39.91)","37.85 (34.36, 41.71)","40.12 (36.73, 44.03)","44.99 (41.10, 48.93)","50.29 (45.84, 55.29)","51.98 (46.84, 56.92)","50.34 (45.10, 55.67)","52.49 (46.68, 58.58)","45.91 (26.48, 67.30)"
"Brown County, Nebraska",31017,"32.45 (29.17, 35.96)","33.58 (30.51, 36.83)","35.01 (32.12, 38.25)","38.67 (35.46, 41.98)","42.14 (38.74, 45.87)","43.86 (40.00, 48.07)","40.91 (36.94, 45.23)","40.00 (35.69, 44.54)","23.24 (6.92, 42.73)"
"Buffalo County, Nebraska",31019,"31.98 (29.71, 34.36)","34.02 (32.17, 36.28)","36.71 (34.56, 39.18)","41.18 (38.85, 43.57)","46.80 (44.45, 49.44)","49.00 (46.49, 51.86)","48.47 (45.60, 51.65)","49.93 (46.63, 53.33)","56.11 (40.95, 72.96)"
"Burt County, Nebraska",31021,"33.49 (30.63, 36.65)","36.55 (33.86, 39.70)","40.22 (37.43, 43.16)","46.48 (43.48, 49.99)","53.24 (49.63, 56.89)","57.32 (53.60, 61.53)","56.11 (52.08, 60.77)","59.45 (54.74, 64.51)","77.52 (57.00, 101.55)"
"Butler County, Nebraska",31023,"34.10 (31.46, 37.13)","36.23 (33.48, 39.02)","38.81 (36.14, 41.64)","43.30 (40.27, 46.56)","48.92 (45.60, 52.59)","51.00 (47.21, 54.80)","50.45 (46.49, 54.79)","53.24 (48.61, 58.19)","56.13 (40.33, 73.96)"
"Cass County, Nebraska",31025,"35.87 (33.09, 38.68)","37.46 (34.84, 40.12)","39.17 (36.95, 41.71)","43.68 (41.21, 46.24)","47.62 (44.75, 50.40)","51.22 (48.24, 54.59)","48.84 (45.80, 52.24)","48.57 (45.19, 52.44)","35.41 (21.52, 50.44)"
"Cedar County, Nebraska",31027,"31.99 (29.04, 34.82)","32.83 (30.09, 35.43)","34.72 (32.23, 37.11)","36.83 (34.28, 39.46)","39.75 (37.05, 42.77)","40.27 (37.32, 43.40)","37.71 (34.84, 40.98)","37.67 (34.64, 41.23)","17.75 (4.25, 33.81)"
"Chase County, Nebraska",31029,"48.32 (43.96, 52.85)","49.51 (45.51, 53.94)","50.61 (47.00, 54.59)","55.22 (51.54, 59.27)","60.34 (55.99, 64.92)","63.75 (58.76, 68.87)","59.88 (54.69, 65.12)","61.64 (55.55, 67.90)","27.57 (10.62, 47.73)"
"Cherry County, Nebraska",31031,"40.88 (37.63, 43.98)","41.90 (38.94, 45.17)","43.68 (40.43, 46.64)","48.70 (45.44, 52.13)","53.81 (50.02, 57.51)","54.96 (51.08, 58.86)","51.95 (47.98, 56.05)","53.73 (49.16, 58.30)","31.44 (17.60, 47.05)"
"Cheyenne County, Nebraska",31033,"64.22 (59.63, 69.16)","63.53 (59.54, 68.04)","63.16 (59.68, 67.04)","69.88 (65.83, 74.03)","77.86 (73.30, 82.56)","76.89 (72.13, 81.87)","71.30 (66.71, 76.26)","72.92 (67.47, 78.33)","13.55 (1.64, 26.84)"
"Clay County, Nebraska",31035,"33.86 (31.03, 36.97)","35.56 (32.88, 38.36)","38.29 (35.68, 41.30)","43.06 (40.04, 46.16)","49.24 (45.59, 53.11)","51.85 (47.97, 56.16)","52.35 (48.02, 57.29)","55.06 (50.20, 60.32)","62.60 (44.63, 84.71)"
"Colfax County, Nebraska",31037,"31.72 (29.08, 34.45)","32.21 (29.72, 34.83)","33.71 (31.23, 36.23)","38.37 (35.94, 41.13)","46.66 (43.44, 50.03)","52.16 (48.48, 56.00)","53.63 (49.39, 58.27)","54.25 (49.47, 59.34)","71.04 (50.64, 92.88)"
"Cuming County, Nebraska",31039,"30.07 (27.41, 32.68)","31.59 (29.22, 33.91)","33.69 (31.38, 36.14)","38.61 (35.92, 41.37)","43.43 (40.51, 46.51)","45.64 (42.50, 48.72)","43.51 (40.23, 47.21)","44.08 (40.33, 48.15)","46.59 (29.94, 66.54)"
"Custer County, Nebraska",31041,"35.05 (32.55, 37.77)","37.05 (34.54, 39.66)","39.46 (37.07, 41.94)","44.35 (41.71, 47.19)","50.35 (47.24, 53.51)","52.52 (48.89, 56.07)","50.39 (46.66, 54.11)","52.78 (48.20, 57.39)","50.60 (35.04, 66.99)"
"Dakota County, Nebraska",31043,"34.32 (31.30, 37.52)","37.50 (34.57, 40.46)","41.86 (39.07, 44.83)","49.92 (46.76, 52.91)","61.28 (57.55, 65.19)","68.86 (64.72, 73.18)","74.53 (69.82, 79.38)","76.58 (71.25, 82.19)","123.14 (98.95, 151.09)"
"Dawes County, Nebraska",31045,"37.40 (34.03, 40.89)","38.79 (35.73, 42.00)","40.05 (37.10, 43.04)","42.64 (39.25, 45.63)","44.91 (41.68, 48.25)","46.22 (42.55, 49.78)","42.86 (39.29, 46.62)","43.59 (39.79, 47.90)","16.55 (2.15, 32.59)"
"Dawson County, Nebraska",31047,"40.93 (37.96, 44.07)","40.84 (38.15, 43.60)","42.84 (40.39, 45.48)","49.59 (46.67, 52.49)","60.96 (57.76, 64.41)","66.25 (62.74, 70.13)","65.84 (61.99, 69.82)","66.94 (62.41, 71.44)","63.55 (48.41, 81.14)"
"Deuel County, Nebraska",31049,"50.66 (45.70, 56.24)","50.89 (46.25, 55.71)","51.73 (47.40, 56.11)","56.06 (51.40, 60.95)","59.37 (54.31, 64.64)","59.12 (53.90, 64.67)","56.57 (50.98, 62.25)","55.44 (49.40, 61.56)","9.44 (-5.31, 25.95)"
"Dixon County, Nebraska",31051,"29.06 (26.24, 32.06)","30.73 (28.11, 33.46)","32.16 (29.58, 34.74)","35.84 (33.02, 38.68)","41.01 (37.90, 44.55)","43.15 (39.67, 47.15)","43.33 (39.50, 48.02)","43.33 (39.02, 47.81)","49.14 (30.35, 71.79)"
"Dodge County, Nebraska",31053,"29.63 (27.69, 31.80)","31.70 (29.75, 33.71)","34.52 (32.57, 36.66)","39.75 (37.70, 41.92)","46.27 (43.82, 48.67)","49.92 (47.34, 52.76)","50.81 (48.16, 53.84)","53.16 (49.89, 56.74)","79.43 (62.42, 98.89)"
"Douglas County, Nebraska",31055,"38.90 (37.09, 40.79)","44.73 (42.65, 46.71)","44.14 (42.28, 46.05)","49.43 (47.48, 51.46)","56.83 (54.55, 58.89)","60.15 (57.78, 62.52)","59.74 (57.44, 61.96)","60.93 (58.31, 63.43)","56.64 (47.09, 66.66)"
"Dundy County, Nebraska",31057,"43.17 (39.14, 47.47)","46.54 (42.89, 50.68)","50.82 (46.85, 54.57)","57.97 (53.44, 62.70)","66.91 (61.80, 72.36)","76.35 (70.14, 82.73)","73.05 (66.23, 80.31)","76.55 (68.76, 84.82)","77.31 (54.28, 104.13)"
"Fillmore County, Nebraska",31059,"37.21 (34.15, 40.60)","38.86 (35.95, 41.93)","40.38 (37.55, 43.36)","47.31 (44.25, 50.56)","53.44 (49.99, 57.33)","55.37 (51.39, 59.45)","55.29 (51.09, 59.96)","56.50 (51.79, 61.83)","51.86 (34.15, 70.98)"
"Franklin County, Nebraska",31061,"38.21 (34.80, 41.59)","40.57 (37.31, 43.98)","43.59 (40.09, 46.80)","48.79 (45.14, 52.61)","54.43 (50.31, 58.86)","58.41 (53.55, 63.29)","55.21 (50.26, 60.15)","55.32 (49.66, 61.09)","44.77 (26.14, 66.63)"
"Frontier County, Nebraska",31063,"36.36 (33.00, 40.08)","38.53 (35.32, 42.15)","41.07 (37.65, 44.53)","46.19 (42.20, 50.28)","51.52 (46.95, 56.15)","52.40 (47.98, 57.43)","50.31 (45.35, 55.93)","50.43 (45.20, 56.00)","38.72 (21.85, 57.76)"
"Furnas County, Nebraska",31065,"36.22 (33.23, 39.52)","39.57 (36.61, 42.65)","44.48 (41.40, 47.70)","51.86 (48.22, 55.54)","60.30 (55.94, 64.45)","65.05 (60.42, 69.67)","65.96 (60.83, 71.41)","71.79 (65.72, 78.50)","98.21 (75.78, 123.99)"
"Gage County, Nebraska",31067,"37.47 (34.76, 40.09)","39.31 (36.92, 41.74)","42.34 (39.95, 44.86)","46.63 (44.10, 49.23)","52.03 (49.31, 54.92)","53.28 (50.37, 56.68)","51.79 (48.72, 55.12)","52.09 (48.49, 55.55)","39.01 (25.97, 52.89)"
"Garden County, Nebraska",31069,"53.94 (48.64, 59.04)","52.95 (48.39, 57.62)","53.46 (49.45, 57.39)","56.79 (52.23, 61.18)","60.52 (55.51, 65.41)","60.74 (55.14, 66.13)","57.13 (51.58, 62.87)","55.40 (49.35, 61.63)","2.70 (-10.43, 18.16)"
"Garfield County, Nebraska",31071,"35.80 (31.98, 39.76)","39.58 (35.49, 43.84)","44.02 (39.93, 47.99)","51.48 (46.95, 56.34)","59.58 (54.41, 64.83)","62.32 (56.29, 68.43)","61.67 (55.80, 68.21)","63.56 (56.79, 71.03)","77.52 (51.71, 106.21)"
"Gosper County, Nebraska",31073,"36.22 (32.29, 41.01)","38.12 (34.20, 42.43)","40.98 (37.00, 45.47)","47.43 (42.95, 52.27)","52.95 (47.58, 58.34)","55.41 (49.74, 61.40)","52.90 (47.06, 58.90)","55.75 (48.91, 63.03)","53.94 (32.03, 80.77)"
"Grant County, Nebraska",31075,"40.53 (35.14, 46.49)","41.62 (36.55, 47.37)","42.76 (37.33, 49.07)","46.21 (40.27, 52.89)","48.67 (42.37, 55.68)","48.40 (41.97, 55.98)","43.79 (37.02, 51.80)","40.47 (33.66, 47.78)","-0.15 (-17.08, 18.38)"
"Greeley County, Nebraska",31077,"34.05 (30.66, 37.66)","34.87 (31.57, 38.52)","35.94 (32.83, 39.28)","39.70 (36.24, 43.26)","44.66 (40.41, 48.89)","45.30 (40.71, 50.05)","41.44 (37.12, 46.13)","40.75 (36.06, 45.72)","19.68 (2.79, 38.67)"
"Hall County, Nebraska",31079,"35.98 (33.36, 38.49)","37.19 (34.99, 39.46)","39.46 (37.31, 41.65)","44.16 (41.91, 46.61)","50.08 (47.48, 52.55)","51.98 (49.33, 54.97)","51.92 (49.13, 54.94)","51.90 (48.90, 54.98)","44.26 (31.33, 58.14)"
"Hamilton County, Nebraska",31081,"36.08 (33.28, 39.09)","39.08 (36.06, 42.20)","42.71 (39.88, 45.77)","48.49 (45.35, 51.63)","54.86 (51.23, 58.91)","56.53 (52.82, 60.94)","55.07 (50.91, 59.62)","57.77 (52.85, 62.84)","60.11 (41.79, 81.10)"
"Harlan County, Nebraska",31083,"29.78 (27.10, 32.93)","31.92 (29.16, 34.85)","34.58 (31.73, 37.72)","40.13 (36.78, 43.44)","46.04 (42.43, 50.06)","49.41 (45.38, 53.96)","47.36 (42.88, 52.13)","49.12 (44.24, 54.74)","64.95 (44.89, 88.41)"
"Hayes County, Nebraska",31085,"32.92 (28.86, 37.44)","35.19 (31.16, 39.38)","38.04 (33.87, 42.79)","39.07 (34.67, 43.78)","42.70 (37.77, 47.96)","47.64 (41.69, 54.54)","42.87 (37.15, 49.18)","44.91 (38.53, 52.54)","36.43 (16.66, 60.22)"
"Hitchcock County, Nebraska",31087,"36.65 (33.08, 40.54)","38.40 (35.10, 41.83)","41.01 (37.81, 44.37)","47.44 (43.69, 51.34)","55.01 (50.32, 59.61)","57.03 (52.30, 62.12)","57.15 (51.66, 62.58)","59.55 (53.46, 65.89)","62.47 (40.41, 87.57)"
"Holt County, Nebraska",31089,"34.68 (31.66, 37.63)","36.45 (33.90, 39.17)","38.92 (36.26, 41.63)","43.04 (40.37, 45.91)","46.73 (43.78, 49.92)","51.00 (47.63, 54.84)","47.38 (43.99, 51.25)","49.14 (45.17, 53.41)","41.68 (26.09, 59.05)"
"Hooker County, Nebraska",31091,"38.86 (34.41, 44.20)","38.60 (34.09, 43.65)","39.60 (35.07, 44.15)","42.63 (37.93, 47.92)","46.13 (40.85, 52.18)","45.80 (40.16, 52.20)","44.99 (38.70, 51.88)","44.38 (37.75, 51.68)","14.20 (-5.07, 36.24)"
"Howard County, Nebraska",31093,"31.36 (28.25, 34.64)","32.87 (30.04, 35.87)","35.14 (32.17, 38.06)","38.49 (35.52, 41.70)","42.75 (39.28, 46.55)","44.34 (40.58, 48.21)","42.83 (39.08, 46.87)","43.34 (39.16, 47.73)","38.21 (21.30, 57.23)"
"Jefferson County, Nebraska",31095,"32.62 (29.78, 35.54)","34.29 (31.66, 37.01)","36.37 (33.88, 38.96)","41.88 (38.99, 44.90)","47.57 (44.36, 51.01)","50.53 (46.89, 54.63)","50.10 (46.17, 54.46)","50.86 (46.42, 55.60)","55.94 (38.32, 76.74)"
"Johnson County, Nebraska",31097,"29.30 (26.29, 32.37)","29.59 (26.91, 32.44)","30.68 (28.31, 33.23)","33.79 (31.06, 36.79)","37.57 (34.44, 40.88)","39.88 (36.21, 43.81)","37.15 (33.43, 41.14)","38.76 (34.56, 43.12)","32.29 (15.32, 53.18)"
"Kearney County, Nebraska",31099,"36.70 (33.41, 40.16)","39.81 (36.65, 43.09)","43.41 (40.14, 46.68)","50.00 (46.54, 53.70)","58.79 (54.64, 63.29)","60.80 (56.27, 65.43)","60.76 (55.71, 65.94)","63.73 (58.24, 69.65)","73.64 (52.49, 96.96)"
"Keith County, Nebraska",31101,"38.78 (35.40, 42.46)","39.57 (36.50, 42.72)","41.20 (38.43, 44.49)","44.98 (41.57, 48.29)","48.97 (45.55, 52.77)","51.35 (47.28, 55.26)","48.06 (43.92, 52.28)","47.56 (43.21, 52.37)","22.65 (8.04, 38.99)"
"Keya Paha County, Nebraska",31103,"34.78 (30.66, 39.08)","33.81 (30.26, 37.62)","34.23 (30.76, 38.06)","39.42 (35.44, 43.96)","45.48 (40.65, 51.26)","46.05 (40.87, 52.29)","43.60 (38.59, 49.48)","44.82 (39.02, 51.68)","28.86 (11.37, 49.25)"
"Kimball County, Nebraska",31105,"45.35 (41.40, 49.94)","46.81 (43.15, 51.01)","48.51 (45.15, 52.30)","52.46 (48.39, 56.72)","56.18 (52.05, 60.63)","58.59 (53.87, 63.25)","56.93 (52.14, 62.28)","56.89 (51.68, 62.73)","25.45 (9.80, 44.45)"
"Knox County, Nebraska",31107,"31.35 (28.59, 34.22)","33.00 (30.53, 35.52)","35.66 (33.16, 38.34)","39.61 (36.88, 42.43)","45.29 (42.14, 48.34)","47.56 (44.01, 51.06)","46.11 (42.36, 49.85)","47.16 (43.32, 51.52)","50.42 (33.28, 71.62)"
"Lancaster County, Nebraska",31109,"32.93 (31.17, 34.77)","35.28 (33.53, 37.01)","38.58 (36.78, 40.42)","42.58 (40.68, 44.57)","49.88 (47.71, 52.21)","50.76 (48.44, 53.06)","50.42 (48.15, 52.89)","53.31 (50.75, 55.85)","61.87 (50.82, 74.49)"
"Lincoln County, Nebraska",31111,"39.20 (36.34, 41.97)","41.85 (39.12, 44.64)","45.91 (43.34, 48.78)","51.52 (48.70, 54.21)","58.45 (55.67, 61.59)","62.03 (58.87, 65.44)","60.18 (56.95, 63.50)","62.43 (58.55, 66.20)","59.26 (44.33, 76.26)"
"Logan County, Nebraska",31113,"39.50 (34.50, 45.20)","40.71 (35.42, 46.19)","42.86 (37.71, 48.41)","46.51 (40.76, 52.62)","51.19 (44.66, 58.30)","55.12 (47.91, 63.25)","52.35 (44.67, 60.65)","51.95 (43.87, 60.63)","31.53 (10.38, 54.16)"
"Loup County, Nebraska",31115,"33.50 (28.98, 38.51)","34.66 (30.20, 39.39)","36.41 (31.86, 41.48)","40.42 (35.23, 46.06)","43.15 (37.40, 49.08)","46.86 (40.39, 54.39)","45.63 (38.89, 53.15)","45.19 (38.32, 52.96)","34.88 (15.20, 58.66)"
"Madison County, Nebraska",31119,"33.38 (31.04, 36.07)","36.21 (33.87, 38.75)","39.00 (36.79, 41.20)","44.47 (42.02, 47.06)","52.40 (49.54, 55.43)","57.31 (53.93, 60.66)","55.67 (52.44, 58.88)","56.54 (52.74, 60.42)","69.38 (53.24, 86.79)"
"McPherson County, Nebraska",31117,"32.73 (27.90, 37.52)","33.11 (28.58, 37.95)","33.38 (28.94, 38.17)","36.50 (31.58, 42.12)","39.13 (33.65, 45.51)","39.30 (33.46, 45.46)","35.38 (29.64, 41.69)","34.60 (28.86, 40.75)","5.73 (-11.41, 26.40)"
"Merrick County, Nebraska",31121,"30.02 (27.39, 32.76)","31.82 (29.24, 34.50)","34.01 (31.52, 36.67)","38.50 (35.55, 41.40)","42.80 (39.55, 46.16)","43.29 (39.73, 46.84)","41.46 (37.75, 45.22)","42.14 (38.24, 46.14)","40.38 (24.36, 59.55)"
"Morrill County, Nebraska",31123,"48.37 (44.12, 52.76)","49.10 (45.31, 53.24)","50.44 (46.88, 54.37)","55.70 (51.78, 59.62)","60.08 (55.91, 64.43)","62.29 (57.74, 67.42)","59.54 (54.51, 64.88)","60.78 (54.90, 66.82)","25.66 (9.85, 43.85)"
"Nance County, Nebraska",31125,"34.05 (30.55, 37.65)","36.42 (33.23, 39.87)","38.66 (35.40, 42.29)","43.52 (39.96, 47.34)","48.75 (44.76, 52.88)","52.11 (47.60, 56.84)","48.99 (44.60, 53.90)","49.39 (44.34, 55.10)","45.06 (25.76, 67.08)"
"Nemaha County, Nebraska",31127,"44.31 (40.77, 48.21)","45.03 (41.76, 48.49)","47.23 (44.16, 50.54)","52.06 (48.61, 55.41)","58.31 (54.14, 62.52)","61.53 (57.20, 65.92)","57.62 (52.96, 62.31)","59.34 (53.92, 64.35)","33.93 (18.84, 51.30)"
"Nuckolls County, Nebraska",31129,"36.20 (33.06, 40.05)","38.27 (35.29, 41.49)","40.76 (37.89, 44.05)","45.45 (42.43, 48.67)","50.14 (46.46, 53.92)","52.46 (48.59, 56.65)","51.49 (47.41, 56.10)","50.95 (46.41, 56.27)","40.75 (22.65, 60.38)"
"Otoe County, Nebraska",31131,"42.78 (39.75, 46.07)","45.21 (42.40, 48.12)","46.87 (44.07, 49.67)","51.70 (48.81, 54.63)","55.54 (52.52, 58.69)","58.30 (54.87, 61.69)","55.82 (52.07, 59.54)","57.36 (53.37, 61.32)","34.07 (21.16, 47.58)"
"Pawnee County, Nebraska",31133,"36.40 (33.09, 40.19)","37.46 (34.23, 41.14)","38.68 (35.68, 42.22)","42.60 (39.26, 46.09)","46.10 (42.41, 50.28)","46.71 (42.51, 51.29)","44.88 (40.80, 49.54)","46.57 (41.68, 51.73)","27.93 (11.81, 46.68)"
"Perkins County, Nebraska",31135,"40.87 (37.01, 44.76)","41.31 (37.78, 45.13)","42.23 (38.78, 45.73)","46.51 (42.68, 50.65)","50.39 (46.13, 54.88)","51.61 (47.18, 56.41)","49.04 (44.37, 53.98)","50.70 (45.30, 56.57)","24.06 (8.77, 41.64)"
"Phelps County, Nebraska",31137,"31.84 (29.04, 34.60)","34.63 (32.15, 37.35)","37.70 (34.97, 40.42)","43.87 (40.75, 46.81)","50.77 (47.35, 54.37)","55.70 (51.86, 59.65)","53.95 (50.19, 58.02)","56.74 (52.40, 61.68)","78.18 (59.14, 103.25)"
"Pierce County, Nebraska",31139,"27.65 (25.09, 30.61)","29.04 (26.62, 31.55)","30.92 (28.47, 33.47)","34.66 (32.03, 37.43)","38.65 (35.43, 42.05)","40.07 (36.64, 43.60)","38.92 (35.14, 42.63)","38.82 (34.77, 42.80)","40.41 (22.21, 61.23)"
"Platte County, Nebraska",31141,"31.21 (29.01, 33.59)","31.98 (29.88, 34.23)","34.41 (32.40, 36.56)","37.88 (35.58, 40.12)","43.71 (41.30, 46.22)","46.17 (43.53, 48.82)","44.63 (41.88, 47.65)","46.36 (43.20, 49.61)","48.54 (33.94, 64.76)"
"Polk County, Nebraska",31143,"31.59 (28.68, 34.51)","32.55 (29.75, 35.71)","34.00 (31.28, 37.00)","37.68 (34.84, 40.74)","42.08 (38.55, 45.42)","43.16 (39.28, 47.10)","42.20 (38.39, 46.48)","42.27 (37.95, 46.90)","33.83 (17.20, 52.14)"
"Red Willow County, Nebraska",31145,"33.96 (31.00, 36.89)","36.97 (34.31, 39.90)","40.70 (37.89, 43.51)","47.60 (44.54, 50.62)","56.73 (53.02, 60.27)","62.79 (58.84, 67.03)","60.41 (56.35, 64.89)","65.95 (60.64, 71.35)","94.19 (72.64, 116.40)"
"Richardson County, Nebraska",31147,"42.97 (39.82, 46.33)","45.43 (42.23, 48.65)","48.11 (45.24, 51.13)","53.21 (50.14, 56.46)","58.86 (55.46, 62.48)","61.70 (57.87, 65.86)","57.77 (53.55, 62.01)","59.90 (55.21, 64.78)","39.41 (23.14, 56.16)"
"Rock County, Nebraska",31149,"41.33 (36.90, 46.12)","43.98 (40.01, 48.30)","46.99 (42.79, 51.37)","54.25 (49.61, 59.51)","62.21 (56.48, 68.19)","64.52 (58.01, 70.84)","62.27 (55.54, 69.33)","66.22 (58.09, 74.44)","60.21 (35.65, 87.28)"
"Saline County, Nebraska",31151,"31.92 (29.43, 34.39)","33.35 (30.93, 35.58)","35.76 (33.54, 37.95)","40.90 (38.43, 43.52)","48.37 (45.50, 51.38)","54.27 (50.72, 58.24)","55.28 (51.50, 59.61)","56.75 (52.35, 61.54)","77.81 (58.42, 98.27)"
"Sarpy County, Nebraska",31153,"41.35 (38.35, 44.33)","41.83 (38.93, 44.95)","42.32 (39.94, 44.81)","47.15 (44.53, 49.71)","50.02 (47.52, 52.57)","50.63 (48.00, 53.41)","46.27 (43.77, 49.10)","47.14 (44.36, 50.09)","14.00 (3.35, 25.37)"
"Saunders County, Nebraska",31155,"36.55 (33.93, 39.75)","38.37 (35.84, 41.20)","40.13 (37.68, 42.73)","44.73 (42.13, 47.61)","47.82 (44.91, 50.73)","48.39 (45.40, 51.48)","46.13 (42.87, 49.37)","46.43 (43.03, 50.05)","27.05 (14.27, 42.10)"
"Scotts Bluff County, Nebraska",31157,"42.80 (39.91, 45.74)","43.29 (40.72, 45.90)","45.32 (42.87, 48.07)","50.20 (47.84, 52.76)","56.14 (53.29, 59.22)","59.31 (56.18, 62.48)","56.33 (53.15, 59.81)","57.21 (53.67, 61.03)","33.68 (21.90, 47.09)"
"Seward County, Nebraska",31159,"31.35 (28.81, 34.25)","33.64 (31.01, 36.23)","35.96 (33.71, 38.51)","42.46 (39.77, 45.10)","50.26 (46.97, 53.61)","54.94 (51.34, 58.77)","52.37 (48.82, 56.41)","56.68 (52.29, 61.45)","80.79 (60.19, 102.69)"
"Sheridan County, Nebraska",31161,"40.59 (37.11, 44.15)","41.41 (38.25, 44.80)","42.54 (39.45, 45.66)","45.65 (42.62, 48.62)","49.48 (45.80, 53.05)","52.01 (48.11, 55.84)","49.10 (45.19, 53.26)","48.23 (43.98, 53.01)","18.82 (4.39, 35.08)"
